ID,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual
PGA_scaffold1:46698260-46698291,0.163398138854442,-0.0225133858445716,0.0902100763107864,0.878902688356625,0.448058498110846,3,13.5661998049363,-19.1323996098727,-17.1927730107207,0.0732407208119811,9
PGA_scaffold1:69390550-69390616,0.117462699169787,-0.134690815353131,0.10237580077937,0.465838040734947,0.645751978304927,3,10.3850385358349,-12.7700770716697,-11.5597366996935,0.0733656320965201,7
PGA_scaffold1:72999913-72999928,0.256560157086755,0.00874687611567315,0.295708151151767,1.03529623626868,0.410901282832661,3,0.0195867696602597,7.96082646067948,8.74972477002436,0.524659863945579,6
PGA_scaffold1:76275023-76275137,0.194571602929912,0.0155875146921149,0.404204395607511,1.08708882921149,0.377677592279776,3,-4.43115477288079,16.8623095457616,18.8019361449136,1.4704307408559,9
PGA_scaffold1:86843354-86843513,0.0289341978370522,-0.186858202643603,0.0432093852242481,0.134083488448176,0.876231717737023,3,22.3992007174497,-36.7984014348995,-34.8587748357475,0.0168034587431172,9
PGA_scaffold10:292465-292514,0.205890087291289,0.029421217800464,0.193071268176045,1.16672185799883,0.354374756384803,3,4.43518075319058,-0.870361506381169,1.06926509277083,0.335488631355956,9
PGA_scaffold10:46346093-46346181,0.312443672329523,0.0832582297726976,0.252904826237365,1.36327887514956,0.325031049295588,3,1.42682456482006,5.14635087035989,5.93524917970477,0.38376510680491,6
PGA_scaffold11:50444393-50444419,0.149638784110112,-0.0629515198623596,0.191548433313779,0.703883391264585,0.522894142611213,3,4.32193211138814,-0.643864222776275,0.947716868417208,0.293526418439707,8
PGA_scaffold12:11715766-11715846,0.433569126504125,0.307695599060597,0.101684055464385,3.44448221409099,0.0774749179710612,3,12.129447256016,-16.2588945120321,-14.3192679128801,0.0930568242211568,9
PGA_scaffold12:16432587-16432746,0.287021918201091,0.0833138948299736,0.22434733119293,1.40898681088369,0.306031849383406,3,2.5395878112579,2.9208243774842,4.13116474946038,0.352322075093732,7
PGA_scaffold12:24862842-24862850,0.367280453424717,0.209100566780896,0.1508516371858,2.32191627657273,0.160267331267192,3,6.94921471991223,-5.89842943982445,-4.30684834863097,0.18204973153309,8
PGA_scaffold12:39565752-39565766,0.285283025323572,0.126457030951032,0.144087283570013,1.79619857851742,0.220598947291061,3,7.94686236180789,-7.89372472361577,-5.95409812446377,0.186850307579267,9
PGA_scaffold12:45386105-45386171,0.0826171710518674,-0.146728536185166,0.182623309496336,0.360229855824077,0.70827584023811,3,4.84679797802515,-1.6935959560503,-0.102014864856812,0.266810185371156,8
PGA_scaffold13:10647610-10647622,0.593623784805942,0.503317959207262,0.159934468682874,6.5734827279473,0.0173851028910199,3,6.6947234567828,-5.38944691356559,-3.44982031441359,0.230211308455859,9
PGA_scaffold13:5569690-5569699,0.427008248336577,0.263296319289885,0.250278712407928,2.6082903721377,0.142403051550221,3,1.44579071236231,5.10841857527537,6.31875894725155,0.438476037191991,7
PGA_scaffold14:16996257-16996299,0.182154246367302,-0.090461004843597,0.403134281765741,0.668173352584683,0.547033860542932,3,-2.76948370789741,13.5389674157948,14.3278657251397,0.97510349480868,6
PGA_scaffold14:37010807-37010893,0.516610762943016,0.39576345367877,0.215253754159554,4.27490496965381,0.0545994044286928,3,3.03848629979294,1.92302740041413,3.51460849160761,0.370673429438253,8
PGA_scaffold15:19847760-19847769,0.275537246787813,0.114545523851771,0.0911836033211004,1.71149945949257,0.234461899458889,3,13.4373922707927,-18.8747845415854,-16.9351579424334,0.0748300456315781,9
PGA_scaffold16:20991988-20992334,0.217659672075051,0.0220745900938136,0.256343215609199,1.11286438551551,0.374613022945691,3,1.11679016680788,5.76641966638424,7.35800075757773,0.525694753510913,8
PGA_scaffold16:26210063-26210074,0.241445037660375,0.0728772682515698,0.248527056257114,1.43233216235323,0.288364465359201,3,1.40527276914286,5.18945446171429,7.12908106086629,0.55589127922644,9
PGA_scaffold17:8976100-8976131,0.076226162408399,-0.129056912611957,0.104977596152819,0.371322196926563,0.699915260180695,3,11.7469298950271,-15.4938597900542,-13.5542331909022,0.0991826612462199,9
PGA_scaffold18:18664659-18664770,0.16269633283981,-0.0233711487513433,0.176998866332055,0.874394232933744,0.449752379627407,3,5.47817345224414,-2.95634690448829,-1.01672030533628,0.281957388145496,9
PGA_scaffold18:19258200-19258255,0.220697414410839,0.0258717680135486,0.236149132739941,1.13279446773035,0.368828496834517,3,2.01938096247682,3.96123807504636,5.55281916623984,0.446131303150611,8
PGA_scaffold18:2572863-2572869,0.522850543485356,0.403563179356695,0.195282781844309,4.38311758587791,0.0518343592006423,3,4.10954433934214,-0.219088678684278,1.3724924125092,0.305082919078815,8
PGA_scaffold2:29935199-29935234,0.375642861354931,0.236896830544915,0.189250245101494,2.70741338805791,0.120073969280265,3,4.67505113479746,-1.35010226959492,0.589524329557081,0.32234089743878,9
PGA_scaffold2:52925352-52925433,0.371687443809449,0.214609304761812,0.219464105234711,2.3662582588703,0.155848617807759,3,2.8254041406399,2.34919171872021,3.94077280991369,0.385315947891777,8
PGA_scaffold2:53313178-53313319,0.602921459338126,0.514681783635487,0.131136453072249,6.83277057102893,0.0156654861487532,3,9.07703249295538,-10.1540649859108,-8.21443838675876,0.154770923919333,9
PGA_scaffold2:54831881-54831895,0.171228711862798,-0.0359641101715027,0.268309700301263,0.82642202650462,0.471779198293745,3,0.614918698640526,6.77016260271895,8.36174369391243,0.575920762206028,8
