ID,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual
PGA_scaffold1:30599518-30599553,0.722844214945752,0.647256273567321,0.208038476304425,9.56295675955548,0.00212518869747343,4,4.59256747653539,0.814865046929214,4.35511605244026,0.476080083853733,11
PGA_scaffold1:30766259-30766284,0.545792164143626,0.432240205179533,0.0912419582884513,4.80654115633718,0.0201025927535317,4,17.9062867483204,-25.8125734966408,-21.9496298854419,0.0999011394277378,12
PGA_scaffold1:34112464-34112503,0.307579370681175,0.0767724942415668,0.300589992530404,1.33262654659968,0.323600477720558,4,-0.429884640586454,10.8597692811729,13.6845160684806,0.813189092484853,9
PGA_scaffold1:48029845-48029968,0.258123326554645,0.0355603245210391,0.437709214778012,1.15977644170916,0.372692311275352,4,-5.94302705657938,21.8860541131588,25.0813407612351,1.91589356701584,10
PGA_scaffold1:57599101-57599196,0.306339441178837,0.0751192549051158,0.406428391896519,1.32488190635825,0.32581655474992,4,-4.35147205914217,18.7029441182843,21.527690905592,1.48665633965632,9
PGA_scaffold1:57648024-57648053,0.499510382067775,0.363013213540805,0.170640225111621,3.65949262873594,0.0475305579058755,4,7.56505224821436,-5.13010449642872,-1.58985349091767,0.320298950687594,11
PGA_scaffold1:60340858-60341113,0.425175475040934,0.281469343801168,0.185664072898499,2.95864533665269,0.0751797072655867,4,6.53950081388477,-3.07900162776953,0.783941983429376,0.413653775583112,12
PGA_scaffold10:11112810-11112940,0.594741435196042,0.48421637206769,0.171687630791591,5.38105492421545,0.015906106855423,4,7.47326226410809,-4.94652452821618,-1.40627352270513,0.324243068235125,11
PGA_scaffold10:18556589-18556610,0.261330926722789,0.0598757249199133,0.164898775178828,1.29721607773872,0.324133502519776,4,8.07843612077468,-6.15687224154935,-2.6166212360383,0.299107666610255,11
PGA_scaffold10:19149223-19149262,0.156742805682979,-0.0732364291307539,0.209509370155395,0.681551992335002,0.581533333450442,4,4.48688617932972,1.02622764134056,4.56647864685161,0.482835938012012,11
PGA_scaffold10:23948376-23948381,0.421911065942823,0.229214754590431,0.205035591378985,2.1895129334949,0.158953510945967,4,4.54344221874998,0.913115562500046,3.73786234980773,0.37835634358917,9
PGA_scaffold11:33245946-33246014,0.301149953284454,0.0681999377126059,0.236565329172514,1.29276640117489,0.335193472874652,4,2.68391152595719,4.63217694808561,7.4569237353933,0.503668394698501,9
PGA_scaffold11:34242236-34242266,0.600769792493663,0.481000730241762,0.223481018635479,5.0160682666957,0.0224080399721222,4,3.46816934025074,3.06366131949851,6.25894796757481,0.499437656903512,10
PGA_scaffold11:34247796-34247825,0.242903038115884,0.015773949550649,0.216756960399387,1.06944927067815,0.405226573911313,4,3.89586590923262,2.20826818153475,5.40355482961105,0.469835798815813,10
PGA_scaffold11:36477247-36477284,0.266779878274454,0.0668107541674864,0.304288137298834,1.33410534984265,0.313196569133557,4,-1.11121293961478,12.2224258792296,15.7626768847406,1.01850397550874,11
PGA_scaffold11:46672468-46672516,0.621687517749445,0.508193773074278,0.308494055527309,5.47772495769518,0.0173457581995388,4,-1.04509594163081,12.0901918832616,15.2854785313379,0.951685822956867,10
PGA_scaffold12:16826176-16826226,0.275045469165909,0.093806836457386,0.117424157818373,1.51758742082463,0.260285941103328,4,13.8698419551544,-17.7396839103087,-13.8767402991098,0.16546119407225,12
PGA_scaffold12:43253817-43253857,0.253392590548145,0.0294103677125884,0.230953694422593,1.13130670523875,0.382627178736904,4,3.00769882987742,3.98460234024516,7.17988898832145,0.533396089674443,10
PGA_scaffold12:44184025-44184061,0.274131243675763,0.0563706167784923,0.190409861714337,1.25886505555059,0.340271959341779,4,5.71023527695532,-1.42047055391065,1.77481609416565,0.362559154380728,10
PGA_scaffold12:44762795-44762874,0.766699116936365,0.703071603373555,0.117369529819801,12.0498047779208,0.000843874003346441,4,13.1785031668667,-16.3570063337334,-12.8167553282224,0.151531671831334,11
PGA_scaffold12:7000227-7000253,0.570640950834855,0.441833236085312,0.1813393357901,4.43017681001811,0.0316207456897669,4,6.39355926530228,-2.78711853060456,0.408168117471737,0.328839547047947,10
