ID,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,TimePoint
Scaffold_01:29577189-29577199,0.568320930951245,0.472392248940411,0.0822311552753272,5.92441091692533,0.0228152095148156,3,14.6774824056283,-21.3549648112566,-19.4153382121046,0.0608576660812348,9,10
Scaffold_01:57368239-57368266,0.514778685251329,0.406951726418291,0.100323498143038,4.77411855831365,0.038612632903698,3,12.2910940305578,-16.5821880611156,-14.6425614619636,0.0905832385169048,9,10
Scaffold_01:59186898-59186958,0.677863235705267,0.606277288084215,0.134077192145584,9.46922207824377,0.00611197141498397,3,8.81090504548587,-9.62181009097174,-7.68218349181974,0.161790241082796,9,10
Scaffold_02:28519662-28519931,0.520174013935377,0.413546017032127,0.0814897906879961,4.8783999422531,0.0367178243656007,3,14.7861604468216,-21.5723208936432,-19.6326942944912,0.0597652738773607,9,10
Scaffold_02:52008790-52008885,0.535645621837265,0.432455760023323,0.0930221875374125,5.19087449504557,0.031682755869319,3,13.1978368996038,-18.3956737992075,-16.4560472000555,0.0778781463682099,9,10
Scaffold_03:16883514-16883624,0.755077324152032,0.700650062852484,0.016962261267561,13.8731456649335,0.00178086287364349,3,33.6200019728632,-59.2400039457264,-57.3003773465744,0.002589464765781,9,10
Scaffold_03:29157470-29157492,0.579670031045751,0.48626337127814,0.0959675503609537,6.20587474691772,0.0202374878355961,3,12.8237719769948,-17.6475439539896,-15.7079173548376,0.0828879365005396,9,10
Scaffold_03:32160557-32161309,0.593193433734245,0.502791974564077,0.0397843150432568,6.56176835174357,0.017468105014804,3,23.3902205013492,-38.7804410026984,-36.8408144035464,0.01424512551115,9,10
Scaffold_03:39088206-39088431,0.568980577314086,0.473198483383883,0.0906495230870783,5.94036477975419,0.0226587414515199,3,13.5078852702291,-19.0157705404582,-17.0761439413062,0.0739560243232327,9,10
Scaffold_03:39970369-39970478,0.642207221260004,0.562697714873338,0.105011574085745,8.07711241643057,0.00980261779275885,3,11.7430465023911,-15.4860930047822,-13.5464664056302,0.0992468762276939,9,10
Scaffold_03:56511986-56512009,0.580391101038274,0.487144679046779,0.16234373558726,6.22427208082272,0.0200817291429135,3,6.51530244058688,-5.03060488117376,-3.09097828202176,0.237199396359836,9,10
Scaffold_03:9908980-9909003,0.63044178874284,0.53805223592855,0.097210438700379,6.82373460568725,0.0186522584902863,3,11.7828206275983,-15.5656412551966,-13.9740601640031,0.0755989551385612,8,10
